venue,year,family,count,venue_year_total,share_pct
CVPR,2020,可信安全,85,1466,5.798090040927694
CVPR,2020,其他,187,1466,12.75579809004093
CVPR,2021,多模态,114,1660,6.8674698795180715
CVPR,2021,生成模型,124,1660,7.46987951807229
CVPR,2021,视觉/三维/视频,965,1660,58.13253012048193
CVPR,2021,推荐/检索/图,99,1660,5.963855421686747
CVPR,2021,可信安全,97,1660,5.843373493975903
CVPR,2021,其他,261,1660,15.72289156626506
CVPR,2022,大模型,189,2074,9.112825458052074
CVPR,2022,多模态,240,2074,11.571841851494696
CVPR,2022,生成模型,83,2074,4.0019286403085825
CVPR,2022,视觉/三维/视频,1006,2074,48.5053037608486
CVPR,2022,可信安全,81,2074,3.90549662487946
CVPR,2022,其他,475,2074,22.90260366441659
CVPR,2023,大模型,156,2353,6.629834254143646
CVPR,2023,多模态,261,2353,11.092222694432639
CVPR,2023,生成模型,157,2353,6.672333191670209
CVPR,2023,视觉/三维/视频,1203,2353,51.12622184445389
CVPR,2023,强化学习,35,2353,1.4874628134296641
CVPR,2023,可信安全,259,2353,11.007224819379516
CVPR,2023,其他,282,2353,11.984700382490438
CVPR,2024,多模态,319,2716,11.74521354933726
CVPR,2024,生成模型,440,2716,16.200294550810014
CVPR,2024,视觉/三维/视频,863,2716,31.77466863033873
CVPR,2024,推荐/检索/图,143,2716,5.265095729013255
CVPR,2024,可信安全,363,2716,13.365243004418263
CVPR,2024,AI4Science/健康,228,2716,8.394698085419734
CVPR,2024,其他,360,2716,13.25478645066274
CVPR,2025,大模型,169,2871,5.886450714036921
CVPR,2025,多模态,742,2871,25.844653430860326
CVPR,2025,生成模型,734,2871,25.5660048763497
CVPR,2025,视觉/三维/视频,830,2871,28.90978753047719
CVPR,2025,推荐/检索/图,147,2871,5.120167189132706
CVPR,2025,AI4Science/健康,79,2871,2.7516544757924066
CVPR,2025,其他,170,2871,5.921281783350748
ECCV,2020,多模态,74,1358,5.44918998527246
ECCV,2020,视觉/三维/视频,848,1358,62.44477172312224
ECCV,2020,优化/理论,69,1358,5.08100147275405
ECCV,2020,可信安全,68,1358,5.007363770250368
ECCV,2020,其他,299,1358,22.017673048600884
ECCV,2022,生成模型,131,1645,7.963525835866261
ECCV,2022,视觉/三维/视频,1016,1645,61.7629179331307
ECCV,2022,可信安全,121,1645,7.355623100303951
ECCV,2022,其他,377,1645,22.91793313069909
ECCV,2024,多模态,206,2387,8.630079597821533
ECCV,2024,生成模型,269,2387,11.269375785504817
ECCV,2024,视觉/三维/视频,1237,2387,51.82237117720989
ECCV,2024,可信安全,312,2387,13.070800167574362
ECCV,2024,其他,363,2387,15.207373271889402
EMNLP,2020,大模型,95,751,12.649800266311583
EMNLP,2020,生成模型,37,751,4.92676431424767
EMNLP,2020,视觉/三维/视频,249,751,33.15579227696405
EMNLP,2020,强化学习,61,751,8.122503328894808
EMNLP,2020,可信安全,140,751,18.64181091877497
EMNLP,2020,NLP/语音,118,751,15.712383488681759
EMNLP,2020,其他,51,751,6.790945406125166
EMNLP,2021,多模态,29,847,3.4238488783943333
EMNLP,2021,生成模型,168,847,19.834710743801654
EMNLP,2021,视觉/三维/视频,196,847,23.140495867768596
EMNLP,2021,推荐/检索/图,238,847,28.09917355371901
EMNLP,2021,可信安全,34,847,4.014167650531287
EMNLP,2021,NLP/语音,101,847,11.92443919716647
EMNLP,2021,其他,81,847,9.563164108618654
EMNLP,2022,大模型,325,828,39.251207729468604
EMNLP,2022,多模态,44,828,5.314009661835748
EMNLP,2022,推荐/检索/图,93,828,11.231884057971014
EMNLP,2022,可信安全,273,828,32.971014492753625
EMNLP,2022,其他,93,828,11.231884057971014
EMNLP,2023,大模型,526,1047,50.238777459407835
EMNLP,2023,多模态,81,1047,7.736389684813753
EMNLP,2023,生成模型,70,1047,6.685768863419293
EMNLP,2023,视觉/三维/视频,138,1047,13.18051575931232
EMNLP,2023,推荐/检索/图,32,1047,3.0563514804202483
EMNLP,2023,可信安全,200,1047,19.10219675262655
EMNLP,2024,大模型,870,1268,68.61198738170347
