venue,year,papers,raw_outliers,final_outliers,topics_excluding_outlier,min_topic_size,model_name,algorithm,n_neighbors,min_similarity,resolution,graph_nodes,graph_edges,raw_communities,merge_methods,raw_outlier_rate,final_outlier_rate
SIGIR,2022,161,0,0,4,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,161,2319,5,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'merged_small_to_0'}",0.0,0.0
SIGMOD,2022,153,0,0,6,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,153,2182,6,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain'}",0.0,0.0
WWW,2022,364,0,0,7,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,364,5366,7,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain'}",0.0,0.0
AAAI,2023,1572,0,0,11,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,1572,22267,11,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain', 10: 'louvain'}",0.0,0.0
ACL,2023,1075,0,0,13,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,1075,15653,13,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain', 10: 'louvain', 11: 'louvain', 12: 'louvain'}",0.0,0.0
ACMMM,2023,902,0,0,12,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,902,12495,13,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain', 10: 'louvain', 11: 'louvain', 12: 'merged_small_to_2'}",0.0,0.0
CHI,2023,871,0,0,9,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,871,12089,9,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain'}",0.0,0.0
CVPR,2023,2353,0,0,13,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,2353,33879,13,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain', 10: 'louvain', 11: 'louvain', 12: 'louvain'}",0.0,0.0
EMNLP,2023,1047,0,0,11,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,1047,15689,11,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain', 10: 'louvain'}",0.0,0.0
ICCV,2023,2156,0,0,16,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,2156,30810,16,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain', 10: 'louvain', 11: 'louvain', 12: 'louvain', 13: 'louvain', 14: 'louvain', 15: 'louvain'}",0.0,0.0
ICDE,2023,371,0,0,8,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,371,5105,8,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain'}",0.0,0.0
ICLR,2023,1530,0,0,14,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,1530,21793,14,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain', 10: 'louvain', 11: 'louvain', 12: 'louvain', 13: 'louvain'}",0.0,0.0
ICML,2023,1828,0,0,14,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,1828,26420,14,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain', 10: 'louvain', 11: 'louvain', 12: 'louvain', 13: 'louvain'}",0.0,0.0
ICRA,2023,1333,0,0,9,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,1333,19156,9,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain'}",0.0,0.0
IJCAI,2023,851,0,0,9,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,851,11869,9,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain'}",0.0,0.0
IROS,2023,1184,0,0,9,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,1184,16867,9,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain'}",0.0,0.0
KDD,2023,313,0,0,8,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,313,4602,8,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain'}",0.0,0.0
MICCAI,2023,73,0,0,5,7,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,73,983,6,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'merged_small_to_1'}",0.0,0.0
NeurIPS,2023,3218,0,0,17,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,3218,46717,17,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain', 10: 'louvain', 11: 'louvain', 12: 'louvain', 13: 'louvain', 14: 'louvain', 15: 'louvain', 16: 'louvain'}",0.0,0.0
RSS,2023,110,0,0,6,11,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,110,1436,6,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain'}",0.0,0.0
SIGGRAPH,2023,80,0,0,5,8,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,80,1102,5,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain'}",0.0,0.0
SIGGRAPH-Asia,2023,116,0,0,6,11,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,116,1614,6,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain'}",0.0,0.0
SIGIR,2023,165,0,0,4,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,165,2398,5,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'merged_small_to_0'}",0.0,0.0
WWW,2023,371,0,0,6,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,371,5302,6,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain'}",0.0,0.0
AAAI,2024,2331,0,0,14,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,2331,32598,14,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain', 10: 'louvain', 11: 'louvain', 12: 'louvain', 13: 'louvain'}",0.0,0.0
ACL,2024,940,0,0,12,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,940,14455,12,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain', 10: 'louvain', 11: 'louvain'}",0.0,0.0
ACMMM,2024,1149,0,0,10,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,1149,16417,10,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain'}",0.0,0.0
CHI,2024,1050,0,0,11,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,1050,14889,11,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain', 10: 'louvain'}",0.0,0.0
COLM,2024,299,0,0,8,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,299,4549,8,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain'}",0.0,0.0
CVPR,2024,2716,0,0,14,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,2716,39991,14,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain', 10: 'louvain', 11: 'louvain', 12: 'louvain', 13: 'louvain'}",0.0,0.0
ECCV,2024,2387,0,0,14,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,2387,35073,14,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain', 10: 'louvain', 11: 'louvain', 12: 'louvain', 13: 'louvain'}",0.0,0.0
EMNLP,2024,1268,0,0,13,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,1268,19567,13,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain', 10: 'louvain', 11: 'louvain', 12: 'louvain'}",0.0,0.0
ICDE,2024,483,0,0,10,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,483,6864,10,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain'}",0.0,0.0
ICLR,2024,2260,0,0,13,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,2260,32423,13,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain', 10: 'louvain', 11: 'louvain', 12: 'louvain'}",0.0,0.0
ICML,2024,2610,0,0,15,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,2610,37982,15,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain', 10: 'louvain', 11: 'louvain', 12: 'louvain', 13: 'louvain', 14: 'louvain'}",0.0,0.0
ICRA,2024,1742,0,0,14,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,1742,24872,14,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain', 10: 'louvain', 11: 'louvain', 12: 'louvain', 13: 'louvain'}",0.0,0.0
IJCAI,2024,1048,0,0,10,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,1048,14720,10,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain'}",0.0,0.0
IROS,2024,1573,0,0,11,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,1573,22535,11,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain', 10: 'louvain'}",0.0,0.0
KDD,2024,411,0,0,10,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,411,5923,10,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain'}",0.0,0.0
MICCAI,2024,71,0,0,5,7,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,71,916,5,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain'}",0.0,0.0
NAACL,2024,562,0,0,11,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,562,8536,11,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain', 10: 'louvain'}",0.0,0.0
NeurIPS,2024,4034,0,0,17,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,4034,59517,17,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain', 10: 'louvain', 11: 'louvain', 12: 'louvain', 13: 'louvain', 14: 'louvain', 15: 'louvain', 16: 'louvain'}",0.0,0.0
RSS,2024,131,0,0,5,13,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,131,1830,5,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain'}",0.0,0.0
SIGGRAPH,2024,121,0,0,5,12,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,121,1665,6,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'merged_small_to_1'}",0.0,0.0
SIGGRAPH-Asia,2024,141,0,0,5,14,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,141,1987,7,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'merged_small_to_1', 6: 'merged_small_to_3'}",0.0,0.0
SIGIR,2024,214,0,0,7,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,214,3136,7,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain'}",0.0,0.0
WWW,2024,404,0,0,8,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,404,5715,8,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain'}",0.0,0.0
AAAI,2025,3028,0,0,16,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,3028,42625,16,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain', 10: 'louvain', 11: 'louvain', 12: 'louvain', 13: 'louvain', 14: 'louvain', 15: 'louvain'}",0.0,0.0
ACL,2025,1699,0,0,15,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,1699,25708,15,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain', 10: 'louvain', 11: 'louvain', 12: 'louvain', 13: 'louvain', 14: 'louvain'}",0.0,0.0
ACMMM,2025,1249,0,0,12,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,1249,18221,12,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain', 10: 'louvain', 11: 'louvain'}",0.0,0.0
CHI,2025,1243,0,0,11,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,1243,17723,11,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain', 10: 'louvain'}",0.0,0.0
COLM,2025,418,0,0,10,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,418,6098,10,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain'}",0.0,0.0
CVPR,2025,2871,0,0,15,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,2871,42432,15,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain', 10: 'louvain', 11: 'louvain', 12: 'louvain', 13: 'louvain', 14: 'louvain'}",0.0,0.0
EMNLP,2025,1809,0,0,12,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,1809,27879,12,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain', 10: 'louvain', 11: 'louvain'}",0.0,0.0
ICCV,2025,2701,0,0,14,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,2701,39923,14,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain', 10: 'louvain', 11: 'louvain', 12: 'louvain', 13: 'louvain'}",0.0,0.0
ICDE,2025,390,0,0,8,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,390,5357,8,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain'}",0.0,0.0
ICLR,2025,3703,0,0,17,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,3703,54131,17,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain', 10: 'louvain', 11: 'louvain', 12: 'louvain', 13: 'louvain', 14: 'louvain', 15: 'louvain', 16: 'louvain'}",0.0,0.0
ICML,2025,3330,0,0,17,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,3330,48446,17,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain', 10: 'louvain', 11: 'louvain', 12: 'louvain', 13: 'louvain', 14: 'louvain', 15: 'louvain', 16: 'louvain'}",0.0,0.0
ICRA,2025,1593,0,0,13,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,1593,22890,13,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain', 10: 'louvain', 11: 'louvain', 12: 'louvain'}",0.0,0.0
IJCAI,2025,1280,0,0,11,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,1280,18016,11,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain', 10: 'louvain'}",0.0,0.0
IROS,2025,1976,0,0,12,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,1976,28080,12,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain', 10: 'louvain', 11: 'louvain'}",0.0,0.0
KDD,2025,552,0,0,9,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,552,7889,10,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'merged_small_to_1'}",0.0,0.0
MICCAI,2025,65,0,0,5,6,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,65,901,6,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'merged_small_to_1'}",0.0,0.0
NAACL,2025,718,0,0,12,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,718,11001,12,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain', 10: 'louvain', 11: 'louvain'}",0.0,0.0
NeurIPS,2025,5286,0,0,15,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,5286,77487,15,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain', 10: 'louvain', 11: 'louvain', 12: 'louvain', 13: 'louvain', 14: 'louvain'}",0.0,0.0
SIGGRAPH,2025,161,0,0,6,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,161,2256,7,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'merged_small_to_1'}",0.0,0.0
SIGGRAPH-Asia,2025,192,0,0,7,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,192,2712,8,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'merged_small_to_0'}",0.0,0.0
SIGIR,2025,239,0,0,6,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,239,3591,6,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain'}",0.0,0.0
WWW,2025,154,0,0,5,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,154,2071,6,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'merged_small_to_2'}",0.0,0.0
AAAI,2026,4149,0,0,20,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,4149,59851,20,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain', 10: 'louvain', 11: 'louvain', 12: 'louvain', 13: 'louvain', 14: 'louvain', 15: 'louvain', 16: 'louvain', 17: 'louvain', 18: 'louvain', 19: 'louvain'}",0.0,0.0
