year,venues,papers,topics,final_outliers
2020,20,15046,177,0
2021,21,16371,193,0
2022,23,17760,203,0
2023,21,21519,205,0
2024,23,27945,242,0
2025,22,34657,248,0
2026,2,9501,39,0
