venue,year,papers,min_cluster_size,n_neighbors,n_components,raw_topics,raw_outliers,reassigned_outliers,final_outliers,final_topics,largest_topic,median_topic_size,seconds,output_dir
KDD,2021,239,6,10,15,17,26,26,0,17,30,12.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=KDD/year=2021
MICCAI,2021,68,5,10,15,6,8,8,0,6,23,10.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=MICCAI/year=2021
NAACL,2021,477,8,10,15,23,113,113,0,23,36,18.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=NAACL/year=2021
NeurIPS,2021,2334,10,10,15,90,537,537,0,90,81,21.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=NeurIPS/year=2021
PR,2021,589,8,10,15,37,56,56,0,37,29,14.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=PR/year=2021
RSS,2021,88,6,10,15,6,5,5,0,6,23,13.5,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=RSS/year=2021
SIGGRAPH-Asia,2021,17,4,10,15,3,0,0,0,3,7,6.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=SIGGRAPH-Asia/year=2021
SIGIR,2021,151,6,10,15,12,27,27,0,12,20,13.5,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=SIGIR/year=2021
SIGMOD,2021,203,6,10,15,14,64,63,1,14,45,12.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=SIGMOD/year=2021
TMM,2021,437,8,10,15,27,52,52,0,27,38,15.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=TMM/year=2021
TPAMI,2021,551,8,10,15,33,98,98,0,33,33,16.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=TPAMI/year=2021
WWW,2021,355,8,10,15,17,105,104,1,17,42,18.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=WWW/year=2021
AAAI,2022,1315,8,10,15,73,290,290,0,73,59,16.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=AAAI/year=2022
ACL,2022,700,8,10,15,35,140,140,0,35,65,17.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=ACL/year=2022
ACMMM,2022,691,8,10,15,38,137,137,0,38,38,16.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=ACMMM/year=2022
AIJ,2022,99,6,10,15,9,6,6,0,9,17,10.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=AIJ/year=2022
