area,venues,venue_year_units,papers,abstracts,doi,abstract_rate
ML / learning,5,115,103691,92801,5706,0.895
Robotics / embodied AI,3,100,55982,4978,55978,0.0889
Computer vision,7,100,53860,40251,19893,0.7473
General AI,2,43,35072,28633,16937,0.8164
Multimedia / HCI / graphics,5,125,28334,9383,28217,0.3312
Data / IR / Web / DB,7,156,28236,8444,27628,0.2991
NLP / language,4,92,25405,18496,0,0.728
Medical AI,1,28,5781,9,5781,0.0016
AI journals,1,22,2135,272,2135,0.1274
