area,venue,venue_type,year,papers,abstracts,abstract_rate,doi
Robotics / embodied AI,ICRA,conference,1997,574,0,0.0,574
Robotics / embodied AI,IROS,conference,1997,290,0,0.0,290
Computer vision,ECCV,conference,1998,57,0,0.0,57
ML / learning,ICML,conference,1998,66,0,0.0,0
ML / learning,NeurIPS,conference,1998,151,1,0.0066,0
Medical AI,MICCAI,conference,1998,133,0,0.0,133
Multimedia / HCI / graphics,SIGGRAPH,conference,1998,45,0,0.0,45
NLP / language,ACL,conference,1998,249,0,0.0,0
Robotics / embodied AI,ICRA,conference,1998,146,0,0.0,146
Robotics / embodied AI,IROS,conference,1998,318,0,0.0,318
ML / learning,ICML,conference,1999,54,0,0.0,0
ML / learning,NeurIPS,conference,1999,150,1,0.0067,0
Medical AI,MICCAI,conference,1999,133,0,0.0,133
Multimedia / HCI / graphics,ACMMM,conference,1999,62,62,1.0,62
Multimedia / HCI / graphics,SIGGRAPH,conference,1999,51,0,0.0,50
NLP / language,ACL,conference,1999,83,0,0.0,0
NLP / language,EMNLP,conference,1999,36,0,0.0,0
Robotics / embodied AI,ICRA,conference,1999,132,0,0.0,132
Robotics / embodied AI,IROS,conference,1999,311,0,0.0,311
AI journals,AIJ,journal,2000,93,0,0.0,93
Computer vision,ECCV,conference,2000,61,0,0.0,61
Computer vision,IJCV,journal,2000,73,0,0.0,71
Computer vision,PR,journal,2000,168,1,0.006,167
Computer vision,TIP,journal,2000,216,210,0.9722,216
Data / IR / Web / DB,ICDE,conference,2000,77,0,0.0,76
Data / IR / Web / DB,SIGIR,conference,2000,69,0,0.0,68
Data / IR / Web / DB,SIGMOD,conference,2000,54,0,0.0,53
Data / IR / Web / DB,TKDE,journal,2000,68,63,0.9265,68
Data / IR / Web / DB,VLDB,conference,2000,71,0,0.0,0
General AI,AAAI,conference,2000,161,0,0.0,0
ML / learning,ICML,conference,2000,151,0,0.0,0
ML / learning,NeurIPS,conference,2000,152,1,0.0066,0
Medical AI,MICCAI,conference,2000,133,0,0.0,133
Multimedia / HCI / graphics,ACMMM,conference,2000,98,57,0.5816,58
Multimedia / HCI / graphics,CHI,conference,2000,72,0,0.0,72
Multimedia / HCI / graphics,SIGGRAPH,conference,2000,59,0,0.0,59
Multimedia / HCI / graphics,TMM,journal,2000,24,23,0.9583,24
NLP / language,ACL,conference,2000,79,0,0.0,0
NLP / language,EMNLP,conference,2000,28,0,0.0,0
NLP / language,NAACL,conference,2000,44,0,0.0,0
Robotics / embodied AI,ICRA,conference,2000,641,0,0.0,641
Robotics / embodied AI,IROS,conference,2000,378,0,0.0,378
AI journals,AIJ,journal,2001,115,0,0.0,115
Computer vision,PR,journal,2001,241,3,0.0124,241
Computer vision,TIP,journal,2001,182,177,0.9725,182
Computer vision,TPAMI,journal,2001,133,129,0.9699,133
Data / IR / Web / DB,ICDE,conference,2001,74,0,0.0,74
Data / IR / Web / DB,SIGIR,conference,2001,78,0,0.0,78
Data / IR / Web / DB,SIGMOD,conference,2001,76,0,0.0,76
Data / IR / Web / DB,TKDE,journal,2001,82,72,0.878,81
Data / IR / Web / DB,VLDB,conference,2001,76,0,0.0,0
Data / IR / Web / DB,WWW,conference,2001,78,0,0.0,78
General AI,IJCAI,conference,2001,197,0,0.0,0
ML / learning,ICML,conference,2001,80,0,0.0,0
ML / learning,NeurIPS,conference,2001,197,2,0.0102,0
ML / learning,TNNLS,journal,2001,1,1,1.0,1
Medical AI,MICCAI,conference,2001,258,0,0.0,258
Multimedia / HCI / graphics,ACMMM,conference,2001,77,77,1.0,77
Multimedia / HCI / graphics,CHI,conference,2001,69,0,0.0,69
Multimedia / HCI / graphics,SIGGRAPH,conference,2001,65,0,0.0,64
