area,venue,venue_type,year,papers,abstracts,abstract_rate,doi
Robotics / embodied AI,ICRA,conference,2013,873,0,0.0,873
Robotics / embodied AI,IROS,conference,2013,913,0,0.0,913
Robotics / embodied AI,RSS,conference,2013,55,0,0.0,55
AI journals,AIJ,journal,2014,85,7,0.0824,85
Computer vision,CVPR,conference,2014,540,540,1.0,0
Computer vision,ECCV,conference,2014,54,0,0.0,54
Computer vision,IJCV,journal,2014,98,1,0.0102,98
Computer vision,PR,journal,2014,326,10,0.0307,317
Data / IR / Web / DB,ICDE,conference,2014,98,0,0.0,98
Data / IR / Web / DB,KDD,conference,2014,151,0,0.0,151
Data / IR / Web / DB,SIGIR,conference,2014,189,0,0.0,189
Data / IR / Web / DB,SIGMOD,conference,2014,129,0,0.0,129
Data / IR / Web / DB,TKDE,journal,2014,211,202,0.9573,211
Data / IR / Web / DB,WWW,conference,2014,84,0,0.0,84
General AI,AAAI,conference,2014,474,441,0.9304,474
ML / learning,ICLR,conference,2014,69,69,1.0,0
ML / learning,ICML,conference,2014,310,310,1.0,0
ML / learning,JMLR,journal,2014,93,88,0.9462,75
ML / learning,NeurIPS,conference,2014,411,65,0.1582,0
ML / learning,TNNLS,journal,2014,352,291,0.8267,352
Medical AI,MICCAI,conference,2014,101,0,0.0,101
Multimedia / HCI / graphics,ACMMM,conference,2014,181,0,0.0,181
Multimedia / HCI / graphics,CHI,conference,2014,457,0,0.0,457
Multimedia / HCI / graphics,TMM,journal,2014,245,184,0.751,245
NLP / language,ACL,conference,2014,286,0,0.0,0
NLP / language,EMNLP,conference,2014,226,0,0.0,0
Robotics / embodied AI,ICRA,conference,2014,1027,83,0.0808,1027
Robotics / embodied AI,IROS,conference,2014,729,0,0.0,729
Robotics / embodied AI,RSS,conference,2014,57,0,0.0,57
AI journals,AIJ,journal,2015,113,3,0.0265,113
Computer vision,CVPR,conference,2015,602,602,1.0,0
Computer vision,ICCV,conference,2015,526,526,1.0,0
Computer vision,IJCV,journal,2015,85,2,0.0235,84
Data / IR / Web / DB,ICDE,conference,2015,122,0,0.0,122
Data / IR / Web / DB,KDD,conference,2015,160,0,0.0,160
Data / IR / Web / DB,SIGIR,conference,2015,154,0,0.0,154
Data / IR / Web / DB,SIGMOD,conference,2015,131,0,0.0,131
Data / IR / Web / DB,TKDE,journal,2015,208,207,0.9952,208
Data / IR / Web / DB,WWW,conference,2015,131,0,0.0,131
General AI,AAAI,conference,2015,584,549,0.9401,584
General AI,IJCAI,conference,2015,604,0,0.0,0
ML / learning,ICML,conference,2015,270,270,1.0,0
ML / learning,JMLR,journal,2015,101,99,0.9802,77
ML / learning,NeurIPS,conference,2015,403,70,0.1737,0
Medical AI,MICCAI,conference,2015,88,0,0.0,88
Multimedia / HCI / graphics,ACMMM,conference,2015,186,0,0.0,186
Multimedia / HCI / graphics,CHI,conference,2015,484,0,0.0,484
Multimedia / HCI / graphics,TMM,journal,2015,283,208,0.735,283
NLP / language,ACL,conference,2015,318,0,0.0,0
NLP / language,EMNLP,conference,2015,312,0,0.0,0
NLP / language,NAACL,conference,2015,186,0,0.0,0
Robotics / embodied AI,ICRA,conference,2015,940,940,1.0,940
Robotics / embodied AI,IROS,conference,2015,970,0,0.0,970
Robotics / embodied AI,RSS,conference,2015,49,0,0.0,49
AI journals,AIJ,journal,2016,90,9,0.1,90
Computer vision,CVPR,conference,2016,643,643,1.0,0
Computer vision,ECCV,conference,2016,51,0,0.0,51
Computer vision,IJCV,journal,2016,103,14,0.1359,102
Computer vision,TPAMI,journal,2016,273,217,0.7949,268
Data / IR / Web / DB,ICDE,conference,2016,178,0,0.0,178
Data / IR / Web / DB,KDD,conference,2016,208,0,0.0,208
Data / IR / Web / DB,SIGIR,conference,2016,176,0,0.0,176
Data / IR / Web / DB,SIGMOD,conference,2016,137,0,0.0,137
Data / IR / Web / DB,TKDE,journal,2016,227,220,0.9692,222
Data / IR / Web / DB,WWW,conference,2016,123,0,0.0,123
General AI,AAAI,conference,2016,595,559,0.9395,595
General AI,IJCAI,conference,2016,654,0,0.0,0
ML / learning,ICLR,conference,2016,125,125,1.0,0
ML / learning,ICML,conference,2016,322,322,1.0,0
ML / learning,JMLR,journal,2016,168,165,0.9821,126
ML / learning,NeurIPS,conference,2016,569,86,0.1511,0
ML / learning,TNNLS,journal,2016,356,294,0.8258,356
Medical AI,MICCAI,conference,2016,77,0,0.0,77
Multimedia / HCI / graphics,ACMMM,conference,2016,184,0,0.0,184
Multimedia / HCI / graphics,CHI,conference,2016,541,0,0.0,541
Multimedia / HCI / graphics,TMM,journal,2016,340,274,0.8059,333
NLP / language,ACL,conference,2016,328,0,0.0,0
NLP / language,EMNLP,conference,2016,264,0,0.0,0
NLP / language,NAACL,conference,2016,181,0,0.0,0
Robotics / embodied AI,ICRA,conference,2016,693,693,1.0,693
Robotics / embodied AI,IROS,conference,2016,830,0,0.0,830
Robotics / embodied AI,RSS,conference,2016,47,0,0.0,47
AI journals,AIJ,journal,2017,75,5,0.0667,75
Computer vision,CVPR,conference,2017,783,783,1.0,0
Computer vision,ICCV,conference,2017,621,620,0.9984,0
Computer vision,IJCV,journal,2017,80,17,0.2125,79
Computer vision,PR,journal,2017,455,32,0.0703,434
Computer vision,TPAMI,journal,2017,311,251,0.8071,300
Data / IR / Web / DB,ICDE,conference,2017,218,0,0.0,218
Data / IR / Web / DB,KDD,conference,2017,215,0,0.0,215
Data / IR / Web / DB,SIGIR,conference,2017,211,0,0.0,211
Data / IR / Web / DB,SIGMOD,conference,2017,100,0,0.0,100
Data / IR / Web / DB,WWW,conference,2017,164,0,0.0,164
General AI,AAAI,conference,2017,691,634,0.9175,691
General AI,IJCAI,conference,2017,781,781,1.0,0
ML / learning,ICLR,conference,2017,490,489,0.998,0
ML / learning,ICML,conference,2017,434,434,1.0,0
ML / learning,JMLR,journal,2017,107,99,0.9252,72
ML / learning,NeurIPS,conference,2017,679,111,0.1635,0
ML / learning,TNNLS,journal,2017,395,341,0.8633,395
Medical AI,MICCAI,conference,2017,90,0,0.0,90
Multimedia / HCI / graphics,ACMMM,conference,2017,204,0,0.0,204
Multimedia / HCI / graphics,CHI,conference,2017,587,0,0.0,587
Multimedia / HCI / graphics,TMM,journal,2017,363,292,0.8044,349
NLP / language,ACL,conference,2017,302,302,1.0,0
NLP / language,EMNLP,conference,2017,323,323,1.0,0
Robotics / embodied AI,ICRA,conference,2017,795,795,1.0,795
Robotics / embodied AI,IROS,conference,2017,878,0,0.0,878
Robotics / embodied AI,RSS,conference,2017,75,0,0.0,75
AI journals,AIJ,journal,2018,71,3,0.0423,71
Computer vision,CVPR,conference,2018,979,979,1.0,0
Computer vision,ECCV,conference,2018,776,776,1.0,0
Computer vision,IJCV,journal,2018,81,14,0.1728,80
Data / IR / Web / DB,ICDE,conference,2018,253,0,0.0,253
Data / IR / Web / DB,KDD,conference,2018,293,0,0.0,293
Data / IR / Web / DB,SIGIR,conference,2018,198,0,0.0,198
Data / IR / Web / DB,SIGMOD,conference,2018,108,0,0.0,108
Data / IR / Web / DB,WWW,conference,2018,190,0,0.0,190
General AI,AAAI,conference,2018,991,953,0.9617,991
General AI,IJCAI,conference,2018,870,870,1.0,0
ML / learning,ICLR,conference,2018,935,935,1.0,0
ML / learning,ICML,conference,2018,621,621,1.0,0
ML / learning,JMLR,journal,2018,76,56,0.7368,36
ML / learning,NeurIPS,conference,2018,1009,142,0.1407,0
ML / learning,TNNLS,journal,2018,438,392,0.895,438
Medical AI,MICCAI,conference,2018,99,0,0.0,99
Multimedia / HCI / graphics,ACMMM,conference,2018,241,0,0.0,217
Multimedia / HCI / graphics,CHI,conference,2018,665,0,0.0,665
NLP / language,ACL,conference,2018,381,381,1.0,0
NLP / language,EMNLP,conference,2018,28,28,1.0,0
NLP / language,NAACL,conference,2018,330,330,1.0,0
Robotics / embodied AI,ICRA,conference,2018,817,817,1.0,817
Robotics / embodied AI,IROS,conference,2018,1086,0,0.0,1086
Robotics / embodied AI,RSS,conference,2018,71,0,0.0,71
Computer vision,CVPR,conference,2019,1294,1294,1.0,0
Computer vision,ICCV,conference,2019,1075,1075,1.0,0
Computer vision,IJCV,journal,2019,129,30,0.2326,129
Computer vision,PR,journal,2019,410,28,0.0683,402
Data / IR / Web / DB,ICDE,conference,2019,268,0,0.0,268
Data / IR / Web / DB,KDD,conference,2019,321,0,0.0,321
Data / IR / Web / DB,SIGIR,conference,2019,206,0,0.0,206
Data / IR / Web / DB,SIGMOD,conference,2019,106,0,0.0,106
Data / IR / Web / DB,TKDE,journal,2019,370,369,0.9973,370
Data / IR / Web / DB,WWW,conference,2019,360,0,0.0,360
General AI,AAAI,conference,2019,1221,1198,0.9812,1221
General AI,IJCAI,conference,2019,964,957,0.9927,0
ML / learning,ICLR,conference,2019,1419,1419,1.0,0
ML / learning,ICML,conference,2019,773,773,1.0,0
ML / learning,JMLR,journal,2019,69,42,0.6087,21
ML / learning,NeurIPS,conference,2019,1428,223,0.1562,0
Medical AI,MICCAI,conference,2019,89,0,0.0,89
Multimedia / HCI / graphics,ACMMM,conference,2019,264,0,0.0,264
Multimedia / HCI / graphics,CHI,conference,2019,702,0,0.0,702
Multimedia / HCI / graphics,SIGGRAPH-Asia,conference,2019,23,0,0.0,23
Multimedia / HCI / graphics,TMM,journal,2019,360,320,0.8889,360
NLP / language,ACL,conference,2019,660,660,1.0,0
NLP / language,EMNLP,conference,2019,681,681,1.0,0
NLP / language,NAACL,conference,2019,423,423,1.0,0
Robotics / embodied AI,ICRA,conference,2019,1024,1024,1.0,1024
Robotics / embodied AI,IROS,conference,2019,934,0,0.0,934
Robotics / embodied AI,RSS,conference,2019,84,0,0.0,84
AI journals,AIJ,journal,2020,107,8,0.0748,107
Computer vision,CVPR,conference,2020,1466,1466,1.0,0
Computer vision,ECCV,conference,2020,1358,1358,1.0,0
Computer vision,PR,journal,2020,521,33,0.0633,498
Data / IR / Web / DB,ICDE,conference,2020,241,0,0.0,241
Data / IR / Web / DB,KDD,conference,2020,217,217,1.0,217
Data / IR / Web / DB,SIGIR,conference,2020,147,147,1.0,147
Data / IR / Web / DB,SIGMOD,conference,2020,167,0,0.0,167
Data / IR / Web / DB,TKDE,journal,2020,402,401,0.9975,402
Data / IR / Web / DB,VLDB,conference,2020,302,193,0.6391,229
Data / IR / Web / DB,WWW,conference,2020,317,317,1.0,317
General AI,AAAI,conference,2020,1610,1404,0.872,0
General AI,IJCAI,conference,2020,778,778,1.0,778
ML / learning,ICLR,conference,2020,2213,2213,1.0,0
ML / learning,ICML,conference,2020,1084,1084,1.0,0
ML / learning,JMLR,journal,2020,69,24,0.3478,0
ML / learning,NeurIPS,conference,2020,1898,1894,0.9979,0
Medical AI,MICCAI,conference,2020,542,4,0.0074,542
Multimedia / HCI / graphics,ACMMM,conference,2020,473,473,1.0,473
Multimedia / HCI / graphics,CHI,conference,2020,758,0,0.0,758
Multimedia / HCI / graphics,TMM,journal,2020,452,401,0.8872,452
NLP / language,ACL,conference,2020,778,778,1.0,0
NLP / language,EMNLP,conference,2020,751,751,1.0,0
Robotics / embodied AI,ICRA,conference,2020,1073,626,0.5834,1073
Robotics / embodied AI,IROS,conference,2020,1128,0,0.0,1128
Robotics / embodied AI,RSS,conference,2020,103,0,0.0,103
AI journals,AIJ,journal,2021,124,30,0.2419,124
Computer vision,CVPR,conference,2021,1660,1660,1.0,0
Computer vision,ICCV,conference,2021,1612,1612,1.0,0
Computer vision,IJCV,journal,2021,138,24,0.1739,138
Computer vision,PR,journal,2021,612,36,0.0588,598
Computer vision,TPAMI,journal,2021,591,551,0.9323,591
Data / IR / Web / DB,ICDE,conference,2021,286,0,0.0,286
Data / IR / Web / DB,KDD,conference,2021,239,239,1.0,239
Data / IR / Web / DB,SIGIR,conference,2021,151,151,1.0,151
Data / IR / Web / DB,SIGMOD,conference,2021,213,0,0.0,213
Data / IR / Web / DB,VLDB,conference,2021,323,209,0.6471,323
Data / IR / Web / DB,WWW,conference,2021,355,355,1.0,355
General AI,AAAI,conference,2021,1654,1449,0.8761,0
General AI,IJCAI,conference,2021,722,722,1.0,722
ML / learning,ICLR,conference,2021,2595,2595,1.0,0
ML / learning,ICML,conference,2021,1183,1183,1.0,0
ML / learning,NeurIPS,conference,2021,2334,2332,0.9991,0
Medical AI,MICCAI,conference,2021,531,5,0.0094,531
Multimedia / HCI / graphics,ACMMM,conference,2021,542,542,1.0,542
Multimedia / HCI / graphics,CHI,conference,2021,746,0,0.0,746
Multimedia / HCI / graphics,SIGGRAPH-Asia,conference,2021,17,0,0.0,17
Multimedia / HCI / graphics,TMM,journal,2021,440,436,0.9909,440
NLP / language,ACL,conference,2021,710,710,1.0,0
NLP / language,EMNLP,conference,2021,847,847,1.0,0
NLP / language,NAACL,conference,2021,477,477,1.0,0
Robotics / embodied AI,ICRA,conference,2021,1386,0,0.0,1386
Robotics / embodied AI,IROS,conference,2021,1032,0,0.0,1032
Robotics / embodied AI,RSS,conference,2021,92,0,0.0,92
AI journals,AIJ,journal,2022,115,39,0.3391,115
Computer vision,CVPR,conference,2022,2074,2071,0.9986,0
Computer vision,ECCV,conference,2022,1645,1645,1.0,0
Computer vision,PR,journal,2022,677,61,0.0901,677
Data / IR / Web / DB,ICDE,conference,2022,320,0,0.0,320
Data / IR / Web / DB,KDD,conference,2022,253,253,1.0,253
Data / IR / Web / DB,SIGIR,conference,2022,161,161,1.0,161
Data / IR / Web / DB,SIGMOD,conference,2022,165,0,0.0,165
Data / IR / Web / DB,VLDB,conference,2022,357,0,0.0,357
Data / IR / Web / DB,WWW,conference,2022,364,364,1.0,364
General AI,AAAI,conference,2022,1319,1177,0.8923,0
General AI,IJCAI,conference,2022,862,862,1.0,862
ML / learning,ICLR,conference,2022,2617,2617,1.0,0
ML / learning,ICML,conference,2022,1233,1233,1.0,0
ML / learning,NeurIPS,conference,2022,2671,2668,0.9989,0
Medical AI,MICCAI,conference,2022,573,0,0.0,573
Multimedia / HCI / graphics,ACMMM,conference,2022,691,691,1.0,691
Multimedia / HCI / graphics,CHI,conference,2022,637,0,0.0,637
Multimedia / HCI / graphics,SIGGRAPH,conference,2022,61,0,0.0,61
Multimedia / HCI / graphics,SIGGRAPH-Asia,conference,2022,53,0,0.0,53
NLP / language,ACL,conference,2022,700,700,1.0,0
NLP / language,EMNLP,conference,2022,828,828,1.0,0
NLP / language,NAACL,conference,2022,442,442,1.0,0
Robotics / embodied AI,ICRA,conference,2022,929,0,0.0,929
Robotics / embodied AI,IROS,conference,2022,1214,0,0.0,1214
Robotics / embodied AI,RSS,conference,2022,74,0,0.0,74
AI journals,AIJ,journal,2023,139,53,0.3813,139
Computer vision,CVPR,conference,2023,2353,2353,1.0,0
Computer vision,ICCV,conference,2023,2156,2156,1.0,0
Computer vision,IJCV,journal,2023,229,58,0.2533,229
Computer vision,PR,journal,2023,830,135,0.1627,830
Computer vision,TPAMI,journal,2023,681,678,0.9956,681
Data / IR / Web / DB,ICDE,conference,2023,386,0,0.0,386
Data / IR / Web / DB,KDD,conference,2023,313,311,0.9936,313
Data / IR / Web / DB,SIGIR,conference,2023,165,164,0.9939,165
Data / IR / Web / DB,SIGMOD,conference,2023,271,0,0.0,271
Data / IR / Web / DB,VLDB,conference,2023,379,0,0.0,379
Data / IR / Web / DB,WWW,conference,2023,371,370,0.9973,371
General AI,AAAI,conference,2023,1578,1391,0.8815,0
General AI,IJCAI,conference,2023,851,851,1.0,851
ML / learning,ICLR,conference,2023,3792,3792,1.0,0
ML / learning,ICML,conference,2023,1828,1828,1.0,0
ML / learning,NeurIPS,conference,2023,3218,3218,1.0,0
ML / learning,TNNLS,journal,2023,1036,997,0.9624,1036
Medical AI,MICCAI,conference,2023,586,0,0.0,586
Multimedia / HCI / graphics,ACMMM,conference,2023,902,901,0.9989,902
Multimedia / HCI / graphics,CHI,conference,2023,872,0,0.0,872
Multimedia / HCI / graphics,SIGGRAPH,conference,2023,86,0,0.0,86
Multimedia / HCI / graphics,SIGGRAPH-Asia,conference,2023,122,0,0.0,122
NLP / language,ACL,conference,2023,1075,1075,1.0,0
NLP / language,EMNLP,conference,2023,1047,1047,1.0,0
Robotics / embodied AI,ICRA,conference,2023,1341,0,0.0,1341
Robotics / embodied AI,IROS,conference,2023,1196,0,0.0,1196
Robotics / embodied AI,RSS,conference,2023,112,0,0.0,112
AI journals,AIJ,journal,2024,132,56,0.4242,132
Computer vision,CVPR,conference,2024,2716,2716,1.0,3
Computer vision,ECCV,conference,2024,2387,2387,1.0,0
Computer vision,PR,journal,2024,1003,114,0.1137,1003
Computer vision,TIP,journal,2024,478,476,0.9958,478
Data / IR / Web / DB,ICDE,conference,2024,501,0,0.0,501
Data / IR / Web / DB,KDD,conference,2024,411,411,1.0,411
Data / IR / Web / DB,SIGIR,conference,2024,214,214,1.0,214
Data / IR / Web / DB,SIGMOD,conference,2024,196,0,0.0,196
Data / IR / Web / DB,VLDB,conference,2024,421,0,0.0,421
Data / IR / Web / DB,WWW,conference,2024,405,403,0.9951,405
General AI,AAAI,conference,2024,2331,2331,1.0,2331
General AI,IJCAI,conference,2024,1048,1048,1.0,1048
ML / learning,ICLR,conference,2024,7404,7404,1.0,0
ML / learning,ICML,conference,2024,2610,2610,1.0,0
ML / learning,NeurIPS,conference,2024,4034,4034,1.0,0
Medical AI,MICCAI,conference,2024,572,0,0.0,572
Multimedia / HCI / graphics,ACMMM,conference,2024,1150,1055,0.9174,1150
Multimedia / HCI / graphics,CHI,conference,2024,1057,0,0.0,1057
Multimedia / HCI / graphics,SIGGRAPH,conference,2024,134,0,0.0,134
Multimedia / HCI / graphics,SIGGRAPH-Asia,conference,2024,146,0,0.0,146
NLP / language,ACL,conference,2024,940,940,1.0,0
NLP / language,COLM,conference,2024,299,299,1.0,0
NLP / language,EMNLP,conference,2024,1268,1268,1.0,0
NLP / language,NAACL,conference,2024,562,562,1.0,0
Robotics / embodied AI,ICRA,conference,2024,1760,0,0.0,1760
Robotics / embodied AI,IROS,conference,2024,1581,0,0.0,1581
Robotics / embodied AI,RSS,conference,2024,134,0,0.0,134
AI journals,AIJ,journal,2025,109,44,0.4037,109
Computer vision,CVPR,conference,2025,2871,2871,1.0,0
Computer vision,ICCV,conference,2025,2701,2701,1.0,0
Computer vision,PR,journal,2025,1532,153,0.0999,1532
Data / IR / Web / DB,ICDE,conference,2025,398,0,0.0,398
Data / IR / Web / DB,KDD,conference,2025,552,548,0.9928,552
Data / IR / Web / DB,SIGIR,conference,2025,239,228,0.954,239
Data / IR / Web / DB,SIGMOD,conference,2025,336,0,0.0,336
Data / IR / Web / DB,VLDB,conference,2025,482,1,0.0021,465
Data / IR / Web / DB,WWW,conference,2025,155,153,0.9871,155
General AI,AAAI,conference,2025,3028,3028,1.0,3028
General AI,IJCAI,conference,2025,1280,1280,1.0,1280
ML / learning,ICLR,conference,2025,11672,11672,1.0,0
ML / learning,ICML,conference,2025,3330,3330,1.0,0
ML / learning,NeurIPS,conference,2025,5286,5286,1.0,0
ML / learning,TNNLS,journal,2025,808,754,0.9332,808
Medical AI,MICCAI,conference,2025,517,0,0.0,517
Multimedia / HCI / graphics,ACMMM,conference,2025,1249,1128,0.9031,1249
Multimedia / HCI / graphics,CHI,conference,2025,1249,0,0.0,1249
Multimedia / HCI / graphics,SIGGRAPH,conference,2025,174,0,0.0,174
Multimedia / HCI / graphics,SIGGRAPH-Asia,conference,2025,201,0,0.0,201
NLP / language,ACL,conference,2025,1699,1699,1.0,0
NLP / language,COLM,conference,2025,418,418,1.0,0
NLP / language,EMNLP,conference,2025,1809,1809,1.0,0
NLP / language,NAACL,conference,2025,718,718,1.0,0
Robotics / embodied AI,ICRA,conference,2025,1604,0,0.0,1604
Robotics / embodied AI,IROS,conference,2025,1985,0,0.0,1985
AI journals,AIJ,journal,2026,46,12,0.2609,46
Computer vision,PR,journal,2026,935,46,0.0492,935
Data / IR / Web / DB,TKDE,journal,2026,251,207,0.8247,251
General AI,AAAI,conference,2026,4149,4149,1.0,0
ML / learning,ICLR,conference,2026,19814,19814,1.0,0
ML / learning,TNNLS,journal,2026,227,206,0.9075,227
Multimedia / HCI / graphics,TMM,journal,2026,595,548,0.921,595
